Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,PE Ratio TTM,EPS Forecast Next Qtr
GS/PC,"Goldman Sachs Group, Inc. (The) Depositary Share repstg 1/1000th Preferred Series C",19.55,USD,-0.1021972406744996,20887,0.9594043397578408,239028544009.0,USD,Finance,,19.986018481029824,20.111886778391483,20.30315014818014,-1.4616935483870925,-4.912451361867695,0.38109756097560976,15.918871
GEV,GE Vernova Inc.,877.39,USD,2.2039209290947803,2463874,1.0897711257451426,236482462369.1905,USD,Producer manufacturing,Strong buy,802.9786276211406,767.5968415809466,724.1170645945044,7.325993883792046,10.46912771958098,49.32316202511721,1.917817
BACHF,"Bank of China, Ltd.",0.6,USD,3.270223752151466,35100,1.128018896726817,236236760013.58975,USD,Finance,Strong buy,0.5841173936100531,0.5826759320310944,0.5804446167381005,0,2.5439443528195183,5.306837355783378,0.0278772
WFC,Wells Fargo & Company,76.39,USD,0.2625016406352577,18236834,1.015679421589559,235711721899.21365,USD,Finance,Strong buy,82.0145450184885,84.08417696117837,84.85838234240204,2.0847253775223873,-13.025162245246497,12.20014693199604,1.574062
WFC/PZ,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",19.21,USD,0,137613,0.5908625047713222,235094594731.0,USD,Finance,,19.532496406750106,19.574254371604066,19.589084910211575,-0.8260196179659275,-3.224181360201514,3.0680039607755454,1.574062
WFC/PA,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",18.95,USD,0.05279831045405496,65209,0.6101267054523951,235094594731.0,USD,Finance,,19.240742033155236,19.29170881239282,19.320113663851714,-1.0443864229764976,-2.9697900665642694,3.0264797010253295,1.574062
WFC/PC,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",17.64,USD,0.2272727272727224,65751,0.9047339916119019,235094594731.0,USD,Finance,,17.949866514428432,18.009147125185134,18.038323327923177,-0.7874015748031528,-4.078303425774878,2.817261315360782,1.574062
WFC/PL,Wells Fargo & Company 7.50% Non-Cumulative Perpetual Convertible,1175.0,USD,0.1278227524499361,5893,0.606469141392831,235094594731.0,USD,Finance,,1207.2922848256442,1215.026178763556,1218.6416209532736,0.016172827946651338,-5.670980379563926,187.65771233270513,1.574062
WFC/PY,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",24.01,USD,-0.08364509510988027,48137,1.0401230766571377,235094594731.0,USD,Finance,,24.30854977391532,24.336410250841446,24.31960695667256,-0.7030603804797277,-2.0799347471451797,3.8346056792410645,1.574062
WFC/PD,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",17.46,USD,0.4602991944764203,63758,0.44404761821850247,235094594731.0,USD,Finance,,17.644825715487798,17.670606677542825,17.675008984812276,-0.39931545921277967,-2.1300448430493217,2.788513750918325,1.574062
IBM,International Business Machines Corporation,250.37,USD,-0.4888712241653378,4117242,0.8154407716226654,234855669109.77536,USD,Technology services,Buy,262.23314758456604,270.50249554112094,275.8092371026756,1.0085932141848548,-3.40663580246913,22.458334080838164,1.80699
INTC,Intel Corporation,46.18,USD,2.5538529868976205,73711170,0.9076787662225132,230669093747.29156,USD,Electronic technology,Buy,45.214981000334674,44.12059981745906,41.83994364446325,-3.6109371738676623,0.5443065534509035,nan,0.008992
TMUS,"T-Mobile US, Inc.",206.59,USD,-0.014519407608170137,7578768,1.7324052562587904,227633829019.99213,USD,Communications,Strong buy,210.97838858813975,209.86693929035863,211.41888730585708,-4.810394876284383,-6.435688405797105,21.276004119464467,2.056102
LIN,Linde plc,489.8,USD,0.25175512209100404,2675101,1.1485094112821355,226970465438.5423,USD,Process industries,Strong buy,481.11210707634945,471.3743627886884,463.28519364920066,-0.9083736268182664,2.2269530190136324,33.55415042507861,4.267526
